#NAMES	IB1	IB2	IB3	IB4	IB5	IB6	IB7	IB8	IB9	IB10
yi82_1	0.275000	-0.016000	-0.003000	-0.118000			0.207000	-0.018000		
yi82_1	0.319000	0.334000	0.093000	0.173000			0.155000	0.056000		
ykgH			0.103000	0.052000						
ykgH			0.116000	0.246000						
b0100	0.258000	0.262000		0.102000	0.019000	-0.359000	0.002000	0.112000	0.309000	0.120000
b0100	0.157000	0.307000		0.399000	0.128000	-0.069000	0.054000	0.034000	0.392000	0.211000
yaeB	0.188000	0.207000				0.070000	0.085000	0.060000	0.072000	-0.008000
yaeB	0.216000	0.227000				0.043000	0.199000	0.067000	0.070000	0.071000
aroP	0.007000				-0.112000	-0.068000		-0.007000	-0.064000	-0.151000
aroP	-0.075000				-0.082000	-0.156000		-0.095000	-0.153000	-0.096000
yafS	0.229000	0.144000	-0.051000	-0.121000					0.011000	0.196000
yafS	0.180000	0.262000	0.122000	0.266000					0.050000	0.208000
yaaA				-0.276000				-0.645000		
yaaA				0.013000				-0.138000		
tra5_5	-0.183000	-0.024000			-0.114000	0.096000		-0.040000	-0.214000	
tra5_5	0.030000	0.065000			0.045000	0.061000		-0.008000	-0.074000	
gef			-0.225000	0.157000					0.462000	
gef		0.266000	0.171000	0.261000					0.444000	
betA	-0.708000			-0.569000						
betA	-0.184000			-0.299000						
yacG	-0.212000	-0.160000	-0.090000	-0.161000	-0.227000	-0.090000	0.096000	-0.117000		0.042000
yacG	-0.039000	-0.083000	0.088000	0.103000	-0.176000	-0.091000	0.136000	0.040000		0.080000
rcsF	-0.052000	-0.373000	-0.282000	-0.332000	0.076000		-0.076000	-0.176000	-0.023000	0.096000
rcsF	0.046000	0.156000	-0.052000	-0.014000	0.017000		-0.016000	-0.067000	0.123000	0.154000
pdhR		0.273000	-0.003000	-0.048000	0.040000		0.213000	0.207000		0.505000
pdhR		0.169000	0.046000	0.207000	-0.125000		0.191000	0.146000		0.411000
rnhA	0.145000	0.144000	-0.286000	-0.258000	0.006000		0.051000	-0.009000	0.159000	0.092000
rnhA	0.135000	0.227000	-0.028000	-0.038000	0.028000		0.061000	0.094000	0.073000	0.053000
yaaJ	0.181000		-0.135000		-0.570000	-0.356000		-0.275000	-0.450000	-1.035000
yaaJ	0.289000		0.033000		-0.304000	-0.213000		-0.173000	-0.252000	-0.160000
ykgA		-0.154000	-0.135000				0.299000	0.115000		0.168000
ykgA		0.277000	0.080000				0.039000	-0.024000		0.047000
nhaA	0.408000		-0.092000	0.060000		0.038000	0.150000	-0.084000	0.265000	0.365000
