#NAMES	IB1	IB2	IB3	IB4	IB5	IB6	IB7	IB8	IB9	IB10
b1519	0.156000	-0.010000	0.083000	0.134000	0.153000		0.062000	0.204000	0.096000	0.073000
ycjU	0.057000	0.177000	-0.076000	-0.040000				0.007000	-0.342000	-0.245000
ycjU	-0.297000	-0.147000	0.133000	0.278000				0.216000	-0.036000	-0.450000
acpD	0.069000	0.159000	0.101000	0.112000	-0.074000		-0.047000	0.032000	-0.107000	-0.157000
acpD	0.141000	0.137000	0.160000	0.247000	0.284000		-0.004000	-0.027000	-0.115000	-0.153000
b1329	0.240000	0.241000	-0.214000	-0.163000		-0.141000	-0.039000	-0.069000	0.156000	-0.037000
b1329	0.166000	0.085000	0.001000	-0.059000		0.009000	-0.101000	-0.117000	0.177000	-0.014000
ydcG	0.049000	0.041000	-0.038000	-0.032000	0.064000	0.029000	0.021000	-0.044000	0.056000	0.127000
ydcG	0.028000		0.083000	0.166000	0.036000	0.004000	0.035000	0.049000	0.058000	0.065000
narL		-0.366000	-0.173000	-0.326000				0.071000		
narL		0.287000	-0.069000	-0.035000				0.128000		
hipB	-0.122000		-0.008000	-0.259000				0.019000	-0.148000	
hipB	0.191000		-0.049000	-0.034000				-0.085000	-0.107000	
hnr	-0.198000	-0.450000	-0.022000	0.092000		0.295000	0.026000	-0.060000	-0.127000	-0.077000
hnr	0.067000	0.172000	0.171000	0.140000		0.346000	0.027000	0.011000	0.055000	0.047000
b1520	-0.972000	-0.276000	-0.131000	-0.213000	1.226000	0.759000	0.258000	-0.228000	0.070000	-0.127000
b1520	-0.424000	-0.011000	-0.011000	0.015000	-0.054000	0.089000	0.056000	0.107000	0.013000	-0.047000
ycjV	-0.731000		-0.145000	-0.140000						
ycjV	-0.101000		-0.004000	0.022000						
hrpA	-0.190000	-0.174000	-0.072000	-0.076000		-0.204000	0.219000	0.154000	0.275000	0.407000
hrpA	-0.181000	0.203000	0.013000	0.190000		-0.055000	0.245000	0.224000	0.307000	0.327000
b1330	-0.299000	0.004000	-0.095000	-0.179000				0.375000	-0.322000	0.163000
b1330	0.139000	0.229000	0.129000	-0.018000				0.442000	0.052000	0.109000
b1425	-0.472000	-0.066000	-0.028000	-0.133000	0.448000	1.044000	0.027000	0.088000	-0.219000	-0.203000
b1425	0.136000	0.076000	0.097000	0.099000	-0.086000	0.137000	0.062000	0.061000	-0.183000	-0.005000
narX	0.203000	-0.640000		0.041000	-0.315000	0.103000	-0.051000	0.078000	-0.034000	-0.247000
narX	0.130000	0.074000		0.191000	0.096000	0.058000	0.089000	0.129000	-0.008000	-0.050000
b1509	0.178000	0.120000	-0.142000	-0.115000	0.025000		0.065000	0.095000	0.069000	-0.015000
b1509	0.254000	0.211000	0.096000	0.150000	0.763000		0.044000	0.074000	0.171000	0.051000
galU	0.129000	-0.039000	-0.039000	-0.003000	-0.024000	0.018000	-0.003000	-0.105000	0.017000	0.163000
galU	0.053000	0.120000	0.075000	0.176000	0.099000	0.141000	0.020000	-0.056000	0.147000	0.116000
uxaB	0.302000	-0.010000	-0.006000	0.020000	0.441000		0.092000	0.058000	0.013000	0.052000
uxaB	0.311000	0.232000	0.101000	0.233000	0.185000		0.029000	0.039000	0.024000	-0.001000
ompG	-0.033000	0.060000	0.154000	0.122000				0.496000	-0.086000	-0.068000
ompG	-0.068000	-0.287000	0.262000	0.418000				0.640000	-0.187000	0.019000
ydcF	0.047000	0.108000	-0.033000				-0.045000	0.064000	0.035000	0.103000
ydcF	0.176000	0.044000	0.240000				0.104000	0.107000	0.013000	-0.057000
trs5_4	-0.165000	0.196000	-0.148000	-0.222000	-0.039000	-0.218000	-0.221000	-0.273000	0.010000	-0.044000
trs5_4	-0.162000	-0.076000	-0.249000	-0.093000	-0.188000	-0.218000	-0.224000	-0.261000	-0.044000	-0.017000
ydcH	0.348000	0.270000	0.095000		0.345000	0.251000	0.074000	0.197000		0.275000
ydcH	0.405000	0.399000	0.230000		0.207000	0.193000	0.065000	0.154000		0.203000
narK				-0.324000						
narK				0.199000						
ydeK	-0.199000				-0.070000	-0.037000		0.090000		
ydeK	-0.101000				-0.021000	-0.121000		0.188000		
hns		-0.180000	-0.322000	-0.420000	-0.132000	-0.061000	-0.035000	-0.016000	0.115000	0.209000
hns		0.071000	-0.213000	-0.174000	-0.023000	-0.039000	-0.006000	-0.035000	0.209000	0.334000
b1522	-0.371000	-0.053000		-0.206000				-0.189000	-0.102000	
b1522	0.092000	0.187000		-0.065000				0.062000	0.182000	
ycjW	-0.636000		-0.051000	-0.057000				-0.213000		-0.074000
ycjW	-0.098000		0.090000	0.154000				-0.069000		0.094000
aldA	-0.796000	-0.278000		-0.886000		-1.171000	-0.688000			-0.864000
aldA	-0.463000	-0.014000		-0.573000		-0.462000	-0.583000			-0.818000
ynaJ	-0.316000	-0.234000		-0.314000	-0.068000	-0.090000	-0.306000	-0.332000	-0.199000	-0.240000
ynaJ	-0.273000	0.056000		-0.095000	0.137000	0.140000	-0.228000	-0.165000	-0.131000	-0.143000
rimL	-0.005000	-0.020000	0.020000	-0.070000	0.213000		0.028000	0.136000		0.573000
rimL	0.085000	0.158000	0.088000	-0.076000	0.172000		0.120000	0.071000		0.193000
narG	0.275000	-0.792000	-0.055000	-0.099000	-0.101000		0.032000	-0.006000	-0.085000	-0.364000
narG	0.138000	0.198000	0.081000	0.205000	-0.074000		0.054000	0.090000	-0.083000	-0.075000
ydeV	-0.070000	-0.007000	0.048000	0.073000	-0.049000	-0.236000	0.030000	0.066000	-0.043000	-0.156000
ydeV	0.060000	-0.023000	0.159000	0.248000	-0.116000	-0.014000	0.129000	0.057000	0.104000	-0.119000
tdk	0.039000	-0.269000	-0.303000	-0.237000	-0.134000	-0.096000	-0.045000	-0.088000	-0.001000	-0.025000
tdk	-0.027000	-0.002000	-0.089000	-0.001000	-0.020000	0.061000	0.005000	-0.059000	-0.030000	0.081000
b1523	0.151000	-0.351000	-0.055000	-0.053000	1.154000		-0.083000	0.041000	0.131000	0.175000
b1523	0.039000	0.055000	0.065000	0.086000	0.294000		0.033000	0.077000	-0.067000	0.098000
ycjX	-0.033000	0.002000	0.105000	0.076000	0.104000	0.156000	0.231000	0.141000	0.090000	0.191000
ycjX	0.044000	0.038000	0.282000	0.293000	0.322000	0.411000	0.373000	0.243000	0.178000	0.234000
gapC_2	-0.009000	0.195000	-0.099000					-0.105000	0.554000	0.460000
gapC_2	0.061000	0.143000	0.076000					0.015000	0.440000	0.446000
ydaA	0.114000	0.276000	-0.007000	0.048000	-0.015000	0.085000	0.268000		0.242000	0.296000
ydaA	0.079000	0.104000	0.227000	0.234000	0.141000	0.214000	0.242000		0.355000	0.307000
b1428	0.129000	0.051000	-0.022000	-0.060000	-0.006000	0.109000	0.138000	0.066000	0.230000	0.204000
b1428	0.167000	0.136000	0.175000	0.278000	0.088000	0.079000	0.021000	0.085000	0.215000	0.239000
narH		-0.611000	-0.065000	-0.163000	0.102000			0.119000		
narH		0.006000	0.044000	0.062000	-0.158000			0.155000		
ydeW	-0.012000		-0.060000	-0.162000	-0.240000		0.028000	0.046000	-0.283000	-0.214000
ydeW	-0.028000		-0.103000	-0.053000	-0.274000		-0.046000	-0.128000	-0.215000	-0.091000
ychG	-0.057000	-0.385000	0.113000	-0.144000			-0.109000	-0.064000	0.065000	-0.191000
ychG	-0.029000	0.129000	-0.027000	-0.069000			0.095000	0.143000	0.090000	0.265000
yneH	-0.441000	-0.038000	-0.173000	-0.201000	1.084000		0.119000	-0.238000	-0.265000	-0.090000
yneH	0.034000	0.070000	0.031000	-0.077000	0.159000		-0.069000	-0.020000	-0.157000	0.086000
ycjF			0.339000	0.411000				0.639000	0.731000	
ycjF			0.419000	0.621000				0.725000	0.786000	
gapC_1			-0.262000	-0.292000			0.030000	-0.076000		0.088000
gapC_1			-0.034000	-0.024000			0.032000	-0.010000		0.191000
fnr	0.270000	0.245000	-0.038000	-0.114000	0.253000	0.165000	0.098000	0.186000	0.242000	0.354000
fnr	0.314000	0.358000	0.137000	0.127000	0.330000	0.286000	0.202000	0.182000	0.352000	0.321000
tehA		0.130000	0.073000	-0.130000	0.169000	0.153000	0.017000	0.039000	0.037000	-0.006000
tehA		0.891000	0.069000	0.135000	0.233000	0.125000	0.072000	0.031000	0.199000	0.188000
narJ	0.301000	-0.493000	-0.116000	-0.142000	-0.143000			-0.361000	0.009000	
narJ	0.665000	0.013000	0.152000	0.072000	-0.291000			-0.030000	-0.200000	
b1513	0.026000	0.228000	0.069000	-0.056000						
b1513	0.316000	0.190000	0.135000	0.183000						
b1240	0.136000	0.002000	-0.113000	-0.065000	0.005000	-0.004000	0.094000	0.012000	0.166000	0.078000
b1240	0.067000	0.161000	0.065000	0.151000	0.043000	-0.029000	0.119000	0.043000	0.201000	0.194000
b1525	0.362000	0.164000	0.013000	-0.113000	0.321000		0.031000	0.052000	0.150000	0.015000
b1525	0.335000	0.383000	0.144000	-0.132000	0.172000		0.080000	0.053000	0.034000	0.036000
tyrR	0.233000	0.202000	0.082000			0.604000	0.124000	0.128000	0.146000	0.174000
tyrR	0.347000	0.416000	0.261000			0.245000	0.310000	0.303000	0.253000	0.166000
cybB	-0.152000	0.080000	-0.041000	-0.113000			-0.297000	-0.222000	-0.108000	-0.201000
cybB	-0.048000	-0.038000	0.028000	0.106000			-0.310000	-0.258000	-0.125000	-0.177000
ogt	0.088000	0.211000		0.028000			0.222000	0.079000	0.270000	0.294000
ogt	0.073000	0.110000		0.373000			0.148000	0.189000	0.329000	0.344000
tehB	0.021000	-0.005000	-0.068000	-0.169000	0.535000	0.214000	0.129000	0.082000		0.454000
tehB	0.039000	0.107000	0.097000	0.161000	0.148000	0.148000	0.089000	0.170000		0.334000
adhE		0.054000	-0.068000	-0.079000	0.215000	0.199000	0.149000	0.140000		
adhE		0.384000	0.031000	0.066000	0.418000	0.130000	0.201000	0.119000		
yneJ	-0.536000	-0.755000	-0.229000	-0.280000					-0.330000	-0.349000
yneJ	-0.021000	0.001000	-0.063000	-0.111000					-0.184000	-0.173000
yciA	-0.446000	-0.873000	-0.119000	0.039000		0.575000	-0.367000		-0.216000	-0.451000
yciA	0.012000	-0.049000	0.165000	0.181000		-0.229000	-0.277000		-0.103000	-0.008000
dcp			-0.203000	-0.045000	0.021000	-0.265000	-0.104000	-0.335000	-0.275000	-0.471000
dcp			-0.090000	-0.173000	0.046000	0.023000	-0.152000	-0.153000	-0.139000	-0.077000
ydaH	-0.439000		0.113000	0.121000			0.735000	-0.096000	-0.169000	-0.186000
ydaH	0.059000		0.118000	0.256000			0.178000	-0.059000	0.005000	0.050000
b1431	-0.104000	0.153000	-0.070000	-0.159000		-0.008000	0.251000	0.157000		0.309000
b1431	0.193000	0.276000	-0.049000	0.094000		0.200000	0.218000	0.238000		0.418000
lar	0.105000	0.044000	0.137000	0.092000	0.307000	0.156000	0.089000	0.113000	0.162000	0.193000
lar	0.302000	0.346000	0.143000	0.230000	0.149000	0.245000	0.064000	0.149000	-0.014000	0.211000
b1443	0.164000	0.290000	0.110000	-0.001000	0.268000	0.320000	0.067000	0.133000	0.183000	
b1443	0.268000	0.285000	0.082000	0.148000	0.232000	0.272000	0.142000	0.160000	0.096000	
ychE	0.286000	-0.621000	0.001000	-0.004000	-0.066000	-0.276000	-0.179000	-0.090000	-0.282000	-0.500000
ychE	0.034000	0.110000	0.160000	0.229000	-0.330000	0.054000	0.092000	-0.078000	-0.267000	-0.058000
b1527	-0.337000	0.142000		-0.008000				0.410000	-0.011000	-0.058000
b1527	0.046000	0.030000		0.036000				0.759000	-0.145000	0.009000
yciB	0.138000	-0.086000	-0.068000	-0.055000	0.116000	0.114000	0.004000	-0.031000	0.088000	0.109000
yciB	0.104000	0.074000	0.128000	0.150000	0.133000	0.152000	-0.053000	-0.089000	0.231000	0.240000
ydfG	0.012000	0.083000	-0.101000	-0.096000	0.203000	0.195000	0.075000	0.011000	0.063000	0.082000
ydfG	0.039000	0.196000	0.033000	-0.004000	0.131000	0.162000	0.045000	0.054000	0.124000	0.163000
b1337	0.527000	0.362000	-0.011000	0.056000			0.200000	0.029000	0.014000	0.090000
b1337	0.684000	0.151000	0.117000	0.279000			0.192000	0.488000	-0.012000	0.030000
b1432	-0.026000	-0.040000	-0.094000				0.115000	0.151000	-0.006000	-0.092000
b1432	0.178000	-0.116000	0.115000				-0.066000	-0.062000	-0.030000	-0.112000
recT	0.098000	0.134000	0.057000	0.146000		0.391000	0.212000	-0.040000	0.437000	-0.005000
recT	0.123000	0.226000	0.113000	0.202000		0.194000	0.156000	0.086000	0.265000	0.015000
b1444	0.397000	0.355000	0.069000	0.006000	0.106000	0.286000	0.129000	0.146000		0.340000
b1444	0.475000	0.452000	0.216000	0.316000	0.156000	0.368000	0.544000	0.239000		0.374000
oppA					1.218000	1.113000				
oppA					0.947000	1.092000				
ydeA	-0.712000	-0.843000	-0.578000	-0.430000				-0.112000	-0.518000	
ydeA	-0.008000	-0.008000	-0.135000	-0.149000				-0.209000	-0.280000	
yciC	-0.309000	-0.457000	-0.207000	-0.042000	-0.077000	0.062000	-0.172000	-0.368000	-0.061000	-0.239000
yciC	0.017000	-0.085000	0.073000	0.055000	-0.090000	-0.132000	-0.207000	-0.023000	-0.239000	-0.129000
ydfH	0.111000	0.091000	-0.226000	-0.069000			-0.111000	-0.293000	-0.219000	-0.283000
ydfH	0.086000	0.083000	-0.056000	-0.149000			-0.144000	-0.098000	-0.117000	-0.003000
ydaJ	-0.932000		-0.024000	-0.091000				-0.629000		
ydaJ	-0.143000		0.041000	0.236000				0.350000		
b1433	-0.458000	-0.131000	-0.025000	-0.153000	-0.061000	0.175000	-0.045000	0.081000		0.087000
b1433	0.058000	0.063000	0.030000	0.177000	-0.066000	-0.019000	0.028000	-0.003000		0.133000
recE	-0.231000	-0.399000	-0.030000	-0.012000			0.190000	0.012000	-0.069000	0.143000
recE	0.270000	0.304000	0.067000	0.198000			0.125000	0.145000	-0.082000	0.056000
b1445	-0.220000	-0.129000	-0.139000	-0.200000	0.736000	-0.166000	-0.094000	-0.121000	-0.226000	-0.020000
b1445	-0.137000	0.045000	-0.104000	-0.036000	0.139000	0.088000	-0.055000	0.014000	-0.143000	-0.020000
oppB	0.894000		0.589000	0.583000	0.760000		0.741000	0.775000	0.737000	
oppB	0.868000		0.646000	0.817000	0.695000		0.803000	0.815000	0.705000	
ydeB	-0.149000	0.121000	-0.053000	-0.084000			-0.118000	-0.023000	0.085000	0.164000
ydeB	0.256000	0.136000	0.046000	0.181000			-0.030000	-0.042000	0.202000	-0.009000
yciD	0.212000	-0.280000	0.004000	0.098000	0.097000	0.134000	0.007000	-0.082000	0.100000	0.035000
yciD	0.163000	0.261000	0.122000	0.278000	0.189000	0.185000	0.066000	-0.045000	0.121000	0.084000
b1541		0.099000	-0.183000	-0.300000	-0.047000	0.019000	-0.031000	-0.070000	0.137000	0.191000
b1541		0.189000	-0.068000	0.002000	-0.021000	0.076000	-0.014000	0.023000	0.098000	0.172000
ydaK	0.186000	0.240000	0.049000				-0.145000	-0.018000	0.115000	0.012000
ydaK	0.435000	-0.072000	0.153000				-0.080000	0.146000	0.051000	0.051000
ydcN	-0.253000	-0.194000	-0.485000				-0.335000	-0.304000	-0.346000	-0.347000
ydcN	-0.074000	-0.146000	-0.239000				-0.237000	-0.126000	-0.075000	-0.278000
racC	0.184000	0.095000	-0.035000	0.050000				0.332000	0.267000	0.124000
racC	0.198000	0.186000	0.133000	0.225000				0.097000	0.099000	0.135000
b1446	-0.062000	0.016000	-0.162000	-0.248000	0.127000	-0.028000	-0.095000	-0.099000		-0.042000
b1446	-0.063000	0.105000	-0.025000	0.069000	-0.154000	-0.070000	0.075000	-0.111000	-0.023000	0.002000
oppC		0.611000	0.305000	0.286000	0.674000	0.769000	0.770000	0.666000		
oppC		0.366000	0.396000	0.417000	0.384000	0.528000	0.694000	0.691000		
marR		-0.561000	0.183000	0.098000		1.391000	0.180000	0.268000	0.320000	0.038000
marR		0.089000	0.119000	0.121000		0.312000	0.135000	0.071000	0.183000	0.384000
yciE		0.037000	0.337000	0.715000	1.391000		0.709000	0.367000	0.393000	0.153000
yciE		0.663000	0.688000	0.726000	1.923000		0.586000	0.573000	0.296000	0.548000
ydfI	-0.075000	0.121000	-0.031000	-0.012000	0.016000	0.070000	0.049000	-0.053000	-0.123000	
ydfI	0.036000	0.071000	0.162000	0.079000	-0.069000	-0.063000	0.108000	0.112000	-0.066000	
ydaL	-0.367000	-0.406000	-0.140000	-0.160000			0.213000	0.007000		-0.049000
ydaL	0.219000	0.184000	-0.003000	0.103000			0.028000	0.026000		0.012000
ydcP	-0.650000		-0.199000	-0.292000					-0.477000	
ydcP	0.147000		-0.119000	0.009000					0.105000	
ydaD			0.051000	-0.132000						
ydaD			0.004000	0.081000						
b1447	-0.129000	-0.021000	0.066000	-0.191000	0.078000	0.081000	-0.170000	-0.134000	-0.149000	-0.078000
b1447	-0.032000	0.016000	-0.006000	-0.068000	0.063000	0.053000	-0.104000	-0.035000	-0.061000	0.008000
oppD	0.791000		0.580000	0.590000	0.685000			0.730000	0.657000	0.516000
oppD	0.807000		0.595000	0.773000	0.737000			0.711000	0.656000	0.615000
marA	0.299000	0.281000	0.207000	0.265000			0.446000	0.410000	0.697000	0.618000
marA	0.633000	0.532000	0.360000	0.396000			0.501000	0.549000	0.704000	0.626000
yciF	-0.005000	-0.078000	-0.142000	-0.147000			0.005000	0.098000		0.189000
yciF	-0.145000	-0.122000	0.129000	0.152000			0.172000	0.130000		0.085000
b1543	0.052000	-0.181000	0.099000	-0.038000	0.306000	0.261000	-0.100000	-0.093000	0.030000	-0.020000
b1543	0.030000	0.182000	0.104000	0.111000	0.098000	0.189000	-0.031000	-0.099000	0.012000	0.118000
b1341	0.094000	0.117000	-0.108000	-0.206000		-0.302000	-0.268000	-0.261000	-0.310000	-0.230000
b1341	0.195000	-0.038000	-0.030000	-0.069000		-0.235000	-0.186000	-0.225000	-0.228000	-0.250000
b1436	-0.009000	0.019000				0.376000	0.452000	0.223000	0.101000	
b1436	0.068000	0.084000				1.144000	0.224000	0.371000	0.359000	
sieB	0.216000	0.054000	-0.058000	-0.084000				-0.110000	-0.017000	-0.079000
sieB	0.139000	0.187000	0.138000	0.163000				0.015000	-0.419000	-0.335000
b1448	0.210000	0.164000	-0.043000	-0.040000	0.145000	0.179000	-0.021000	-0.038000	0.085000	0.086000
b1448	0.142000	-0.148000	0.123000	0.157000	0.241000	0.164000	-0.077000	-0.014000	0.026000	0.070000
oppF		0.753000	0.269000	0.291000		1.766000		0.523000	0.159000	
oppF		1.041000	0.351000	0.510000		1.662000		0.591000	1.008000	
marB	-0.355000	-0.709000	-0.038000	0.134000					-0.040000	-0.255000
marB	0.393000	-0.110000	0.170000	0.134000					0.081000	0.201000
yciG	0.169000	-0.063000	0.207000	-0.269000	0.177000		0.445000	-0.054000	0.016000	0.113000
yciG	0.022000	0.129000	0.070000	-0.147000	-0.008000	0.226000	0.171000	0.261000	0.252000	0.267000
ydfK	-1.035000	-1.219000	-0.064000	-0.086000	-0.253000	-0.077000	0.053000	-0.049000		
ydfK	-1.113000	-1.113000	0.163000	0.120000	-0.120000	-0.117000	0.104000	0.066000		
b1342		-0.449000	-0.293000	-0.192000			0.353000	-0.044000		
b1342		0.325000	0.003000	0.024000			0.038000	0.212000		
b1437	-0.646000		-0.111000	-0.213000				-0.504000		
b1437	0.222000		-0.064000	-0.052000				-0.053000		
b1354	-0.479000	-0.054000	0.120000	-0.029000				0.537000		
b1354	0.260000	0.167000	0.095000	0.122000				0.177000		
yncB			0.095000	-0.153000	0.170000	0.154000	-0.063000	-0.016000	-0.043000	0.281000
yncB			-0.016000	0.007000	0.094000	0.137000	-0.076000	-0.078000	0.136000	0.163000
b1248	0.505000	-0.068000	0.259000	0.270000	0.488000	0.409000	0.382000	0.515000	0.378000	
b1248	0.558000	0.343000	0.361000	0.483000	0.555000	0.574000	0.544000	0.481000	0.472000	
ydeD	0.041000	0.142000	-0.098000	-0.106000	-0.168000	0.091000	-0.304000	-0.344000	-0.169000	-0.254000
ydeD	0.106000	0.171000	-0.134000	0.177000	-0.112000	0.044000	-0.424000	-0.400000	-0.135000	-0.241000
trpA	-0.288000	-0.320000	-0.601000	-0.592000	-0.460000	-0.485000	-0.601000	-0.662000	-0.412000	-0.454000
trpA	-0.348000	-0.264000	-0.406000	-0.416000	-0.335000	-0.303000	-0.640000	-0.610000	-0.418000	-0.438000
b1545	0.227000	-0.049000	-0.085000	-0.029000			-0.074000	0.037000	0.004000	0.128000
b1545	0.143000	0.158000	0.058000	0.049000			-0.026000	0.004000	0.197000	0.149000
dbpA	0.093000	0.056000	-0.204000	-0.183000			-0.337000	-0.222000	-0.316000	-0.371000
dbpA	-0.012000	-0.198000	0.001000	-0.143000			-0.291000	-0.351000	-0.181000	-0.337000
b1438	0.304000	0.162000	0.021000						0.405000	0.197000
b1438	0.263000	0.243000	0.315000						0.223000	-0.018000
b1355	0.107000	-0.006000	-0.139000			0.824000	0.094000	-0.238000	0.015000	-0.175000
b1355	0.047000	0.106000	0.024000			-0.243000	0.096000	-0.029000	0.112000	-0.064000
b1450			-0.008000	0.008000	0.205000	0.222000	0.015000	0.019000	0.151000	0.250000
b1450			0.193000	0.219000	0.051000	0.121000	0.069000	-0.003000	0.113000	0.260000
cls		0.108000	-0.096000	-0.089000	0.256000	0.089000	0.014000	-0.035000		
cls		0.260000	0.044000	0.093000	-0.109000	0.042000	0.122000	0.193000		
ydeF	-0.356000	-0.578000	-0.204000	-0.398000		0.682000		-0.132000	-0.554000	-0.413000
ydeF	0.163000	-0.074000	-0.018000	-0.138000		-0.107000		-0.032000	-0.131000	-0.214000
trpB	-0.347000	-0.290000	-0.094000	-0.418000	-0.434000	-0.428000	-0.469000			-0.716000
trpB	-0.373000		-0.004000	-0.103000	-0.219000	-0.060000	-0.394000			-0.509000
ydfM	-0.539000	-0.008000	-0.141000	-0.052000	-0.198000	-0.834000		-0.199000		
ydfM	0.218000	0.085000	0.092000	0.088000	-0.373000	-0.215000		0.085000		
ydaO		-0.576000	-0.140000	-0.070000			-0.110000		-0.324000	-0.060000
ydaO		0.036000	0.178000	0.101000			-0.163000		-0.120000	-0.108000
b1439	-0.672000		-0.280000	-0.284000			-0.120000	-0.068000		-0.319000
b1439	0.133000		0.008000	0.015000			-0.094000	0.111000		-0.120000
ydaR	-0.146000	0.003000	-0.057000	-0.186000		0.093000	-0.151000	-0.093000	0.508000	
ydaR	-0.030000	0.182000	0.020000	0.125000		0.103000	-0.094000	-0.061000	0.535000	
b1451			-0.178000	-0.217000	0.479000	1.158000	-0.137000	-0.063000	0.064000	0.321000
b1451			-0.089000	-0.095000	0.445000	0.287000	-0.032000	-0.074000	-0.184000	0.163000
kch	0.406000	-0.398000	0.103000	0.020000	0.255000	0.127000		0.213000	0.157000	
kch	0.455000	0.393000	0.254000	0.277000	0.268000	0.297000		0.194000	0.236000	
ydeH	0.236000	0.144000	-0.044000				0.225000	0.350000	0.196000	0.238000
ydeH	0.238000	0.276000	-0.106000				0.200000	0.293000	0.198000	0.203000
trpC	-0.243000	-0.380000	-0.616000	-0.618000	-0.418000	-0.304000	-0.524000	-0.638000	-0.490000	-0.497000
trpC	-0.336000	-0.243000	-0.395000	-0.486000	-0.270000	-0.270000	-0.650000	-0.559000	-0.429000	-0.473000
b1547	0.451000	0.203000	0.092000	-0.038000				0.077000	0.282000	0.136000
b1547	0.387000	0.270000	0.132000	0.160000				0.467000	0.273000	0.343000
b1345	-0.113000	-0.070000			-0.148000	-0.111000	0.053000	0.085000	-0.075000	-0.052000
b1345	-0.029000	-0.037000			-0.012000	-0.018000	0.110000	0.057000	-0.093000	-0.016000
b1440	0.367000	0.186000	0.078000				0.250000	0.038000		0.069000
b1440	0.463000	0.421000	0.267000				0.551000	0.269000		0.130000
ydaS			-0.125000		0.713000		0.127000	-0.083000	0.008000	-0.123000
ydaS			0.089000		0.134000		0.200000	-0.114000	-0.056000	0.116000
b1452	-1.074000	-0.856000	-0.225000	-0.195000	0.042000	0.186000	-0.001000	-0.099000	-0.016000	-0.022000
b1452	-1.007000	0.096000	-0.155000	0.013000	0.147000	-0.011000	-0.009000	-0.143000	0.072000	0.013000
yciI		0.083000	-0.215000	-0.270000		-0.002000	-0.160000	-0.279000	-0.256000	-0.270000
yciI		0.189000	-0.050000	-0.025000		0.135000	-0.044000	-0.121000	-0.109000	-0.089000
ydeI	-0.650000	-0.887000	-0.094000	-0.191000						-0.298000
ydeI	0.016000	-0.031000	-0.020000	-0.059000						-0.040000
trpD	-0.526000	-0.360000		-0.449000	-0.154000	-0.109000		-0.775000	-0.683000	-0.578000
trpD	-0.310000	-0.018000		-0.288000	-0.150000	-0.268000		-0.525000	-0.427000	-0.682000
nohA			0.011000	-0.102000	0.040000	0.830000		0.220000		
nohA			0.129000	0.051000	-0.053000	-0.272000		0.311000		
ydaQ	-0.144000		0.189000	0.180000			0.347000	0.034000	-0.149000	-0.051000
ydaQ	0.077000		0.226000	0.327000			0.207000	0.135000	0.087000	0.059000
b1441	-0.292000	-0.046000	-0.107000	-0.154000			0.919000	0.153000	-0.048000	0.062000
b1441	0.463000	0.136000	0.184000	0.138000			0.457000	-0.018000	0.173000	0.222000
ydaT	-0.387000	-0.001000	-0.189000	-0.252000				0.160000	0.140000	0.226000
ydaT	0.017000	0.191000	-0.089000	0.061000				0.119000	0.244000	0.368000
ansP			0.260000	0.202000	0.125000	0.244000	0.126000	0.160000	-0.058000	-0.069000
ansP			0.377000	0.263000	0.030000	0.018000	0.083000	0.158000	0.035000	0.106000
tonB	-0.035000		-0.250000	-0.379000	-0.278000	-0.220000	-0.185000	-0.139000	-0.150000	-0.403000
tonB	-0.032000		-0.057000	-0.013000	-0.165000	0.033000	-0.155000	-0.180000	-0.113000	-0.083000
ydeJ	0.096000		-0.506000	-0.651000					-0.094000	-0.025000
ydeJ	0.213000		-0.209000	-0.306000					0.004000	-0.044000
trpE	-0.143000	-0.158000	-0.613000	-0.486000	-0.039000	-0.157000	-0.393000	-0.497000	-0.366000	-0.372000
trpE	-0.221000	-0.117000	-0.301000	-0.280000	-0.121000	-0.040000	-0.484000	-0.463000	-0.307000	-0.320000
ydfO	0.358000	-0.060000	0.167000	-0.025000	0.062000		-0.673000	0.014000		-0.147000
ydfO	0.374000	0.193000	0.122000	0.103000	0.448000		0.280000	0.065000		0.082000
ydaC	-0.026000	-0.037000	0.054000	0.138000				0.458000	0.150000	-0.127000
ydaC	0.082000	0.041000	0.277000	0.330000				0.617000	-0.158000	-0.114000
b1442	0.261000	0.341000			0.024000	0.122000	0.076000	0.072000	-0.173000	-0.097000
b1442	0.319000	0.513000			0.037000	0.137000	0.057000	0.052000	-0.071000	-0.094000
ydaU	0.321000	-0.032000						0.453000	-0.091000	-0.040000
ydaU	0.211000	0.119000						0.046000	0.114000	0.104000
b1454			0.109000	0.087000	0.109000	0.174000	-0.004000	0.006000	0.061000	0.029000
b1454			0.137000	0.237000	0.173000	0.073000	-0.013000	-0.052000	0.073000	0.083000
rem		-0.096000	0.072000	0.113000	0.320000	0.740000	0.035000	-0.117000	-0.197000	0.003000
rem		0.084000	0.052000	0.104000	-0.092000	-0.017000	0.105000	0.155000	0.004000	-0.057000
purT	-0.326000	-0.759000	-0.454000	-0.500000						
purT	-0.322000	-0.278000	-0.143000	-0.206000						
b1657	-0.439000	-0.053000	-0.372000	-0.426000	-0.142000	-0.315000	-0.363000	-0.201000	-0.439000	-0.275000
b1657	0.073000	0.133000	-0.079000	-0.292000	-0.230000	-0.322000	-0.207000	-0.099000	-0.248000	-0.190000
b1754			0.216000	0.132000						
b1754			0.336000	0.263000						
