htgA	-0.109000			
htgA	-0.001000			
ykgD		-0.176000		
ykgD		0.057000		
hofB		-0.082000	-0.166000	-0.054000
hofB		0.140000	0.099000	0.064000
yafC	-0.278000	-0.174000	-0.593000	
yafC	0.132000	0.025000	-0.046000	
thrL	-0.225000	-0.203000	-0.486000	
thrL	-0.058000	-0.058000	-0.098000	
ykgK		0.168000	0.121000	0.317000
ykgK		0.326000	0.903000	0.380000
yaaI	-0.045000	-0.073000		-0.107000
yaaI	0.107000	0.190000		0.028000
ykgE	0.055000	0.044000		0.081000
ykgE	0.202000	0.131000		0.131000
lpxC		-0.102000		-0.364000
lpxC		0.038000		-0.101000
yaeJ	0.003000	-0.025000	-0.135000	-0.009000
yaeJ	0.082000	0.093000	-0.077000	0.129000
ppdD	-0.083000	-0.069000	-0.276000	0.031000
ppdD	0.053000	0.116000	0.101000	0.235000
yafD		-0.109000	-0.152000	
yafD		0.080000	-0.076000	
thrA	-0.236000		-0.341000	-0.735000
thrA	-0.024000		-0.171000	-0.449000
ykgL			0.213000	0.206000
ykgL			0.466000	0.251000
dnaK	-0.049000	-0.130000	-0.214000	-0.383000
dnaK	-0.122000	-0.067000	-0.097000	-0.148000
ykgF	-0.339000	-0.091000		-0.380000
ykgF	-0.074000	-0.159000		0.077000
yacA		-0.162000	-0.269000	-0.297000
yacA		-0.051000	-0.083000	-0.256000
cutF		-0.222000	-0.215000	0.061000
cutF		0.010000	-0.023000	-0.106000
nadC	-0.069000	-0.141000	-0.234000	-0.302000
nadC	0.062000	0.018000	-0.041000	0.030000
yafE	-0.263000	-0.095000		
yafE	0.030000	0.026000		
thrB	-0.175000	-0.127000	-0.341000	
thrB	-0.012000	-0.013000	-0.152000	
ykgM	0.064000	0.147000		
ykgM	0.171000	0.200000		
dnaJ	-0.109000	-0.107000	-0.177000	-0.133000
dnaJ	-0.001000	0.033000	-0.075000	-0.114000
ykgG				
ykgG				
secA		-0.082000	-0.077000	-0.162000
secA		0.054000	-0.073000	-0.096000
yaeF	0.020000	-0.043000	-0.301000	-0.577000
yaeF	0.193000	0.096000	-0.042000	-0.079000
ampD	0.006000	0.035000	-0.133000	-0.110000
ampD	0.137000	0.199000	0.074000	0.081000
dniR	-0.106000	-0.208000	-0.180000	-0.084000
dniR	0.051000	0.091000	-0.051000	-0.033000
thrC	-0.207000		-0.438000	-0.442000
thrC	-0.040000		-0.222000	-0.231000
eaeH				
eaeH				
yi81_1	-0.071000	-0.182000	-0.308000	-0.243000
yi81_1	0.003000	0.037000	-0.041000	-0.092000
b0309	-1.469000	-0.366000		
b0309	-0.293000	0.019000		
mutT	-0.179000	-0.135000	-0.817000	
mutT	-0.046000	-0.017000	-0.251000	
proS	-0.162000		-0.414000	-0.244000
proS	-0.043000		-0.080000	-0.071000
ampE		0.003000		
ampE		0.132000		
gloB	-0.113000	-0.165000		
gloB	0.050000	-0.112000		
b0005	-0.153000	-0.137000		
b0005	-0.010000	-0.062000		
b0298	0.338000	0.264000	0.281000	0.227000
b0298	0.292000	0.342000	0.538000	0.287000
yi82_1			0.022000	
yi82_1			0.059000	
ykgH	-0.061000	-0.103000	0.531000	0.711000
ykgH	0.308000	0.131000	0.887000	0.878000
b0100	0.217000	0.159000	0.159000	-0.018000
b0100	0.164000	0.205000	0.190000	0.250000
yaeB	-0.014000	0.001000	-0.010000	-0.043000
yaeB	0.133000	0.186000	0.151000	0.174000
aroP	-0.054000		0.003000	-0.070000
aroP	0.066000		0.130000	0.078000
yafS		-0.059000	-0.042000	0.734000
yafS		0.181000	0.721000	0.777000
yaaA	-0.031000	0.015000		
yaaA	0.030000	0.069000		
tra5_5	-0.133000	-0.216000	-0.275000	-0.263000
tra5_5	-0.116000	-0.074000	-0.088000	-0.253000
gef	0.135000	0.199000		-0.136000
gef	0.007000	0.002000		0.008000
