647	null	1009	189	631	154.5
615	null	878.5	242	321	154.5
583	null	1775	249	1013	170
551	-0.469	673.5	207	321	151
519	null	1201.5	108	726	167
487	-0.162	895	35	985	187
455	-0.034	1242	34	1767	183
423	null	686	66	526	173
391	null	671	67	340	174
359	null	860	71	815	174.5
327	null	2341	101	917	175
295	null	853.5	151.5	356	167
263	null	971	195	408.5	181
231	null	458	57	303	183
199	null	1493	46	1398.5	205
167	-0.404	1008	50	713	222
135	null	2360.5	49	1959	213.5
103	null	623.5	55	358	215
71	null	265	79	335	230
39	null	638	61	413	271
7	null	330	74	357	246
1319	null	1383	182	1041	181
1287	null	2381	190.5	1900	175.5
1255	-0.32	9475	214	6013	204
1223	null	1082	154	590	167
1191	null	1845	59	1163	180
1159	null	4290	53	1205	187
1127	-0.662	17888	76	5142	211.5
1095	-0.776	17353.5	88.5	3959	213.5
1063	-1.045	7284	106	1097	173
1031	-1.11	5327	74	775	193
999	null	4740.5	68	2292	189
967	-0.417	887	69	527	135
935	null	616	105	270.5	167
903	-0.694	463	43	281	198
871	null	273.5	43	311	199
839	null	4879	87	7329	311
807	-0.263	657	50	614.5	212
775	-0.09	813	50	1099	271
743	-0.082	754	91	981	267.5
711	null	842	118	957	277
679	null	1089	146.5	1706	304
1991	null	38064	265	16117	227
1959	null	2467.5	91	1225	175
1927	-0.42	3419	183	1941.5	183
1895	null	1691	123	1627	187
1863	null	997.5	67	782.5	183
1831	null	1306	49	2552.5	197
1799	-0.004	1332	28	2039	199
1767	null	938	41.5	829.5	183
1735	null	4000.5	57.5	5441.5	223
1703	null	65535	174.5	65535	338
1671	null	14721	94	9566.5	215
1639	null	5840	97	1339	173
1607	null	12442	117	2818	205
1575	null	1251	58	767	187.5
1543	null	3182	57	2111	206.5
1511	-0.231	1571	69	1481	228
1479	null	1861.5	49	1270	231
1447	-0.083	1188	34	1618	271
1415	-0.146	905.5	55	1051	231
1383	-0.291	3803	97	2955	261
1351	-0.33	1493	106	1177	266.5
2663	null	802	184	591	151
2631	null	781	90	366	175
2599	null	852	167	354	168
2567	null	1149	145	1197	174.5
2535	null	1414	87	3394	207
2503	null	1152	53	1015	179
2471	null	547	35	518	157
2439	null	676.5	29	740	173
2407	null	533	33	469	178
2375	-0.073	812	44	1068	197
2343	0.151	785.5	33	1677	189
2311	null	406	25	351.5	173
2279	-0.227	932.5	35	908	197
2247	null	803	53	819	165
2215	null	1888	42	2029	207
2183	-0.285	532.5	64	472	197
2151	null	1006	67	1109	204.5
2119	null	949	63	1003	218
2087	null	1236.5	95.5	1863	239
2055	null	912	96	923	272
2023	null	1013	98	635.5	259.5
3335	-0.519	1314	351	530	162
3303	null	1053	179	814	191
3271	-0.152	780	126	751	164.5
3239	-0.3	1220	119	940	183
3207	-0.393	1608.5	92	1041	179
3175	null	1191	33	1157	183
3143	null	1835.5	35	1831	197
3111	-0.027	421	41	572.5	159
3079	null	266.5	41	199	187
3047	null	640	53.5	598.5	178
3015	null	671	50	382	183
2983	null	719	81	277	177
2951	null	1287	75	933	197
2919	-0.322	1267	54	991	190
2887	-0.25	1099	43	991	175
2855	null	842	40	839	213
2823	-0.371	741	38	572.5	207
2791	null	801.5	52	593	242
2759	null	881	69	1031	247
2727	null	1217.5	132.5	1463	295
2695	null	1270	148.5	1560.5	281
4007	-0.018	757	349	604	141
3975	null	445	199	327	156
3943	null	804	114	539	182
3911	null	471	137.5	374	173
3879	null	777	90.5	597.5	171.5
3847	-0.424	490	47	373	194
3815	-0.439	485.5	39	381	207
3783	null	1135.5	66	961	191
3751	-0.199	569	37	574.5	171.5
3719	-0.116	1893	50	2211	194
3687	null	630	51	679	175
3655	0.054	429	49	671	161
3623	null	1322	47.5	974	173
3591	null	2687.5	45	3380	194
3559	-0.248	565.5	41	507	158
3527	null	562.5	63	370	178
3495	-0.119	826	47.5	1018	230
3463	-0.043	3973	67	5148	251
3431	-0.29	656	67	593	231
3399	-0.024	839	73	1260.5	275
3367	-0.148	687	91	804.5	275
4679	null	1098	296	801.5	183
4647	null	908	174.5	788.5	175
