647	null	127	8	587	91
615	null	58	7.5	317	91
583	0.422	441	8	1239.5	101.5
551	null	21	8	180	87
519	0.333	306.5	7	879	99
487	0.053	611.5	9	802	103
455	0.18	1101	11	1790.5	113.5
423	0.179	687	9	1092	100.5
391	0.265	221	8	671	91
359	0.256	289	8	760.5	101
327	-0.299	1312	8	709.5	79
295	null	165	7	613	85
263	0.002	533.5	7	659.5	71
231	-0.182	554	7	515	81.5
199	0.384	720	7	1783	97
167	null	105	7	263	76
135	0.351	882	8	2082.5	101
103	-0.055	479	9	582	82
71	null	25.5	9	133.5	77
39	-0.063	138.5	10	359	103
7	null	266	16	293	96
1319	0.038	733	9	888.5	113.5
1287	0.191	729	8	1185.5	107.5
1255	0.195	2813	10	5263.5	129
1223	null	235	8	872.5	96
1191	-0.064	493	6	597	95
1159	-0.244	1294.5	7	804	97
1127	-0.223	5941	9	4316	113
1095	-0.104	6113	11	5886.5	135
1063	-0.082	2555	9	2460	101
1031	-0.157	2143	9	1709	97
999	0.224	2274.5	9	4455	91
967	-1.614	1057	8	115	65
935	null	40	7	370	63
903	null	87	7	208.5	71
871	0.175	169	7.5	516	85
839	0.131	2086	10	3299	143
807	0.048	678	10	839.5	98
775	-0.047	618	9	683	98
743	0.032	552	10	742	111
711	null	205	11	674.5	108.5
679	0.609	332	15	1447	123
1991	0.045	15085.5	11	21108	158
1959	-0.03	682	9	757	116
1927	-0.138	1172.5	9	939.5	122
1895	0.1	849	9	1118.5	101
1863	-0.054	803	8	776	86.5
1831	0.267	558.5	7	1089	87
1799	0.258	698.5	7	1292	87
1767	0.236	460.5	7	910	85
1735	0.307	1032	7	2260	101
1703	null	30166.5	16	26589	174
1671	-0.235	3527	9	2438	103
1639	null	1213	7	519	63
1607	-0.473	3119	8	1231	94
1575	-0.284	905	7	562	85
1543	0.074	849	7	1059	97.5
1511	0.089	616	8	854	102.5
1479	-0.031	573	8	658	81.5
1447	0.072	391.5	8	654	92
1415	-0.406	297.5	11	305	94.5
1383	0.018	1061	12	1182	119
1351	0.135	168.5	15	486.5	94.5
2663	0.345	143.5	7	634	102
2631	0.384	83.5	9	525	103
2599	0.024	348	6	567	80
2567	0.081	622.5	7	832.5	85
2535	null	115	5	830	98
2503	0.361	427	6	1076.5	84
2471	null	90.5	7	644	74
2439	-0.05	353	7	506	76
2407	null	49	6	468.5	68
2375	0.517	130	5	756.5	71
2343	null	50	7	889.5	83
2311	null	22	7	216.5	65
2279	0.138	381	7	707	84
2247	-0.016	879	7	908.5	97
2215	0.013	797	6	875	83
2183	null	86.5	7	164	82.5
2151	0.06	493	9	710	87
2119	0.025	661	9	784	87
2087	-0.003	697	9	795.5	111
2055	-0.075	222	11	433	113
2023	null	1174	15	719	115
3335	null	15	7	285	69
3303	null	57	9	519	114
3271	null	91	7	592	79
3239	0.086	412	7	681	88
3207	-0.027	713.5	6	743	77
3175	-0.192	588	7	526.5	87
3143	-0.005	1021.5	8	1056	89
3111	-0.038	60	7	207	58
3079	-0.83	210	7	146	60
3047	0.175	74	5	339	55
3015	null	21	5	219	63
2983	0.162	103	5.5	391	62
2951	null	530	7	623	67
2919	0.067	345	7	608.5	87
2887	-0.112	536	6	567	84.5
2855	-0.128	616.5	9	591.5	87
2823	0.183	180.5	8	550	98
2791	0.099	462.5	11	762	119
2759	0.02	461.5	13	647	90
2727	-0.177	710	13	610.5	111
2695	null	817	17	791	132
4007	null	20.5	7	513	89
3975	0.348	39.5	7	315	88.5
3943	0.573	39	7	467	81
3911	null	21	6	222	71
3879	0.234	77	8	375	61
3847	null	53	7	199	71
3815	null	63.5	7.5	270.5	82
3783	-0.127	458	6	517.5	85
3751	-0.062	104	6	300.5	76
3719	0.295	257	7	743	79
3687	0.019	275	6	495	69
3655	0.252	124.5	6	493	71
3623	0.265	403	7	880	75.5
3591	0.529	630	8	2160	95
3559	0.424	110	9	625.5	101
3527	0.067	151	8	424	87
3495	0.041	436	10	665.5	103
3463	0.772	662	9	4211	118
3431	null	21	10	253	79
3399	null	61	12	551	95
3367	0.247	164	17	576.5	111
4679	null	102	7	582	103
4647	null	85.5	7	520.5	83
4615	-0.026	652	8	714	85.5
4583	null	206.5	9	257	94
4551	-0.06	480	7	579	81
4519	-0.121	784	7	660	68
4487	-0.29	455	7	402	79
4455	-0.57	2384	7	732	94
4423	-0.146	422	7	471	71
4391	-0.026	472	5	590	65
4359	0.515	142	7	789	79
4327	0.113	329	7	642	91
4295	0.114	676	10	939	90
4263	0.137	699	10	1044	126
4231	0.093	1463.5	9	2037.5	119
4199	-0.089	505	10	575	91
4167	0.301	199	11	682	103
4135	0.48	67	10	539	103
4103	0.018	811	13	919	111
4071	0.185	264	16	664.5	119
4039	-0.138	715.5	21	660.5	126
5351	null	183.5	7	803	97.5
5319	null	20.5	7	222	103
5287	null	35	7	199	69
5255	null	16	6	165	69
5223	null	24	7	223	87
5191	0.014	268	7	487	71
5159	-0.076	1110.5	8	996	103
5127	0.073	530	6	751	84.5
5095	0.109	187	7	477	71
5063	-0.163	907	7	691	83.5
5031	0.129	609	7	895	87
4999	null	82	7	578	97
4967	0.456	716	8	2138.5	134
4935	0.665	106	11	913	142
4903	0.784	28.5	8	478	95
4871	0.206	519	10	939	103
4839	-0.342	275	10	323.5	97.5
4807	null	236	11	235	110
4775	null	39	11	215	84
4743	0.022	583	17	729.5	94
4711	0.122	307.5	25	632.5	109.5
6023	0.624	451	8	1888.5	95
5991	0.722	903.5	8	5353	123.5
5959	0.373	107	7	548.5	71
5927	null	18	7	169	71
5895	null	18	6.5	130	69.5
5863	null	27	6	231	62
5831	null	76.5	7	465	68
5799	0.094	377	5	654.5	79
5767	null	152	7	596	63
5735	0.005	445	7	627	91
5703	0.112	637	7	895	87
5671	0.111	1290	9	1807	91
5639	0.583	40.5	10	463.5	80
5607	0.543	735	11	2719.5	140
5575	null	51	9	252.5	92
5543	0.123	525	9	809	85
5511	0.064	1226	12	1524	101
5479	0.32	1351	12	3205.5	135
5447	0.244	282	18	787	162
5415	0.243	169	16	581	109
5383	0.232	165.5	21	576.5	127
6695	0.738	685	8	4023	103
6663	null	50	7	263	71
6631	0.032	425	6	626	77.5
6599	0.295	104.5	9	487	78
6567	0.164	500	7	838	79
6535	-0.11	347.5	7	468	84
6503	null	569	9	1908	95
6471	-0.245	1407	10	866	95
6439	0.158	305	9	655	84
6407	null	33.5	8	258.5	95
6375	0.25	622	8	1159	99
6343	-0.009	611	10	719	97
6311	-0.227	876.5	11	622	103
6279	0.38	83	11	515	103
6247	null	61	10.5	545.5	103
6215	0.262	730.5	11	1363	97
6183	null	863.5	16	1233.5	135
6151	0.38	2233	17	6341	139
6119	0.002	923	19	1023	149
6087	null	1234	41	1295	134
6055	0.605	257	47	1190	145
7367	0.189	1686	9	3032.5	162
7335	-0.137	530	8	541	83
7303	0.062	669	8	844	87
7271	-0.295	127.5	8	257	91
7239	-0.099	335	7	455	71
7207	0.023	1060	7	1159	79
7175	0.155	536	7	857	78
7143	0.032	1983.5	7.5	2442	91
7111	0.622	365.5	8	1559	82.5
7079	null	22.5	8	244	83
7047	null	28	7	246.5	81.5
7015	-0.129	605	9	590	92
6983	-0.05	642	9	679	84.5
6951	null	10	10	84	93
6919	-0.586	483	11	301	103
6887	0.326	128	11	586	110
6855	null	57.5	13	946	103
6823	null	234.5	16	339	118
6791	null	64.5	20	275	103
6759	0.272	289.5	21	795	133
6727	0.188	274	52	653.5	135
8039	-0.79	10794	11	2168	103
8007	0.295	202.5	7	679.5	95
7975	0.552	42	7	464	75
7943	0.734	84	8	859	83
7911	0.236	567	7	1045.5	95
7879	0.055	1559	7	1968	87
7847	null	1404	8	4206	149
7815	0.795	620	8	4115	101
7783	null	16	7	201	63
7751	0.328	95	7	487	71
7719	0.68	44	9	568.5	84
7687	0.153	89	9	375	81
7655	0.151	889.5	10	1321.5	115
7623	0.213	2016	13	3827	127
7591	0.037	1497.5	12	1816	109
7559	0.024	536.5	14	719	110
7527	0.068	953	15	1190	131
7495	0.172	1166	19	1909	155
7463	-0.319	903.5	21	545	103
7431	-0.548	1425	23	506.5	116
7399	-0.084	1438.5	62	1271	135
8711	null	1242	7	2031	103
8679	null	532	6	999	86
8647	null	32	6	227	71
8615	null	18	5	223	65
8583	null	20	8	279	70
8551	null	18	7	181	80
8519	null	89	9	324	83
8487	null	34.5	8	183	78
8455	null	85	7	627	83
8423	null	128	8	493.5	79
8391	0.317	250	9	797	119
8359	-0.113	415	9	518	99
8327	0.124	743	10	1038	95
8295	0.072	809	10	1023	113
8263	null	160	12	246	114.5
8231	0.137	315	13	659	103
8199	0.136	274	15	615	103
8167	0.127	912	17	1281	119
8135	0.111	1149	18	1574	103
8103	0.004	3137	31	3769	142
8071	-0.642	4079.5	106.5	1126	135
9383	null	1390.5	8	2866	111
9351	null	822	7	1509	98
9319	null	16	6	443	86
9287	null	20	6	486	71
9255	null	139	7	561.5	83.5
9223	null	767	8	1189.5	108.5
9191	null	352	8	677	100
9159	null	409.5	9	573	95
9127	null	448	7	567	93
9095	null	86	8	442	103
9063	null	213	8	551	95
9031	null	498	9	754	112
8999	null	632.5	11.5	743	103
8967	null	1151	13	2054.5	135
8935	null	159.5	15	547	109
8903	null	213	13	336.5	84
8871	null	32	14	268.5	103
8839	null	116	15	587	115
8807	null	30	17	219	93
8775	null	113	17	319	99
8743	null	265	31	712	140.5
10055	null	11	7	147	71
10023	null	15	8	166.5	66
9991	null	19	7	194	71
9959	null	17	5	254	76
9927	null	21	7	379	71
9895	null	460	8	735	97
9863	null	109	8	562	91
9831	null	369	8	551	86
9799	null	3018	11	551	91
9767	null	282	10	684.5	99
9735	null	102.5	8	548.5	100.5
9703	null	9	8	78.5	71
9671	null	19	11	221.5	106.5
9639	null	575	13	359	109.5
9607	null	39	13	278	109
9575	null	178	13	295	110
9543	null	862	16	510	111
