647	null	9	5	117	108
615	null	7	5	110	83
583	1.399	18	5	175.5	93
551	null	8	4	122	101
519	null	16	5	118	94
487	null	15	6	137	102
455	-0.529	792	7	272	115
423	null	15	5	243.5	117
391	null	13	6	161	98
359	null	9	5	121.5	94
327	null	535.5	5	108	108
295	null	7	5	162	116
263	null	7	5	122.5	107.5
231	null	7	5	124	108
199	null	252.5	5	203.5	115
167	null	29.5	5	96.5	101
135	-0.019	298	6	270	118
103	null	9	6	124	81.5
71	null	8	5	142	109.5
39	null	15	5	127	102
7	null	14	5	138	118
1319	0.875	28	5	157	114
1287	-0.111	163	5	145	99
1255	null	1272	5	131	115.5
1223	null	6.5	5	130.5	98
1191	null	533	7	180	112
1159	null	1169	7	112	102
1127	null	2391.5	7	140	90
1095	null	3424.5	7	150	118
1063	-1.793	2831	6	126	98
1031	null	2961	9	138	108
999	null	1834	8	204	116
967	null	272	7	123	126
935	null	8.5	6	115	112
903	null	8	5	132.5	98
871	null	10	5	152.5	128
839	-0.112	1622	8	1145	146
807	null	5	6	146.5	123
775	null	11	5	140	100
743	null	16	6	121	111.5
711	null	8.5	7	132	98
679	null	11.5	5	150	102
1991	null	6924.5	7	335.5	112
1959	null	338.5	6	108	94
1927	null	403	7	134	118
1895	null	396.5	6	148	100
1863	null	25	6	85	85
1831	null	182	6	133	94
1799	null	15	5	174	98
1767	null	7	7	111	101
1735	null	706	7	187	107
1703	null	22174	11	928	110
1671	null	2689	6	198	86
1639	null	1872	6	143	110
1607	null	4251.5	7	224	102
1575	-0.523	192	5	141	123
1543	null	940	5	273	130
1511	null	311	7	132.5	113
1479	-0.211	151	5	155	124.5
1447	-0.328	280	6	167	110.5
1415	null	15	6	140	114
1383	null	506.5	6	126	93
1351	-0.263	211	6	158	114
2663	null	9	5	134	117
2631	null	13	6	158	118
2599	null	12	5	113	98
2567	null	331	7	181	102
2535	null	239	5	161.5	116
2503	null	19	5	102	98
2471	null	13	6	139	108
2439	null	13.5	5	145	126
2407	null	11	7	102	86
2375	null	21	8	262	111
2343	1.043	37	6	212	102
2311	-0.275	325	6	209	126
2279	-0.028	219	6	214	122
2247	null	11	5	158	113.5
2215	0.349	205	5	374	125
2183	null	11	6	213.5	145.5
2151	null	8	5	262	170
2119	null	10	7	142	122
2087	null	10	5	149	114
2055	null	17	6	200	134
2023	0.159	270	6	326	107
3335	null	8	5	121	97
3303	null	16	5	230	121
3271	null	7	5	171.5	114
3239	0.086	210	5	238	117
3207	0.122	292	5	326	102
3175	-0.128	294	6	236	128
3143	0.09	513.5	6	595	110
3111	1.345	29	6	277	109
3079	null	6.5	6	146.5	124
3047	0.04	232	7	236	114
3015	-0.198	193	5	170	123.5
2983	-0.253	589	7	372	150
2951	0.016	1008	7	1005	145.5
2919	null	5	4	173	118
2887	0.021	339.5	6	349	139
2855	1.084	30	6	212	128
2823	null	10	5	172	132
2791	1.226	23	5	206.5	124.5
2759	null	21	5	334	102
2727	null	87	7	467	144
2695	null	11	7	166	126
4007	null	7	5	102	108
3975	null	7	5	154	118
3943	null	7	5	163	97.5
3911	null	11	5	174	118
3879	null	21	6	264	118
3847	null	15	5	194	134
3815	null	206.5	6	222	102
3783	0.99	28.5	5	174	112
3751	0.01	192	7	193	110
3719	0.099	594	6	721.5	125.5
3687	null	14	5	210.5	134
3655	null	11	5	242	102
3623	0.186	447	6	614	93
3591	0.103	1098	5	1258	132
3559	null	7.5	6	161	99
3527	null	9	5	170	134
3495	0.226	288	6	423	128
3463	0.172	881.5	6	1204	131
3431	null	11	6	181	112
3399	null	13	7	186	112
3367	-0.215	560	6	364	134
4679	0.073	846.5	5	961	134
4647	null	13	5	212	102
4615	0.099	389	5	461	133.5
4583	0.904	19	5	124	102
4551	0.333	215.5	6	369	114
4519	0.113	645	6	836	157
4487	-0.513	589	6	233	129
4455	-0.701	3822	7	725	126
4423	null	15	5	150	118
4391	null	21	5	430	118
4359	1.954	24.5	6	845	139.5
4327	null	15	5	333	122
4295	null	11	5	257	112
4263	1.291	31	5	289	116
4231	-0.004	1698	6.5	1452.5	128.5
4199	null	11	6	163	114
4167	null	8	6	122	125
4135	null	12.5	5	194	101
4103	0.333	423	7	831	118
4071	null	328	7	465	140.5
4039	0.226	212	6	328	146.5
5351	-0.001	371	5	358	131
5319	null	11	5	173	102
5287	null	13	5	147.5	114
5255	null	15.5	5	221.5	110
5223	null	14	6	181	101
5191	null	23	7	347	134
5159	-0.002	929	7	889	126.5
5127	0.128	855.5	5	1070	124
5095	null	13	5	176	130
5063	0.01	814	6	814	130
5031	0.308	549	7	1085	178
4999	null	21	6	733	138
4967	null	555	7	1996	178
4935	null	15	5	230	116
4903	null	10	5	170	126
4871	null	13	5	242	125
4839	null	12	5	152.5	114
4807	null	10	5	171.5	110
4775	null	15	7	206.5	123
4743	null	13	5	238	108
4711	null	9	6	150	122.5
6023	null	15	5	642	117.5
5991	0.382	713.5	5	1526.5	122
5959	0.53	184	5	490.5	134
5927	1.249	22	7	190	123.5
5895	null	6.5	5	136	102
5863	null	13	6	198	99
5831	null	13	7	178	109.5
5799	null	253	7	315	125
5767	-0.14	469.5	6	318	100
5735	0.074	323	6	361	134
5703	0.407	193	6	402	136
5671	0.192	564	7	849	143
5639	null	11	5	346	117
5607	null	13	5	1527.5	118
5575	null	11.5	6	264.5	112
5543	0.391	303.5	6	636	115
5511	0.064	879	6	966	126
5479	0.312	787	5	1442	125
5447	null	53	8	233.5	132
5415	0.118	204	6	228	102
5383	-0.058	284.5	6	268	142
6695	0.752	214	5	998	128
6663	null	27.5	5	277	117
6631	null	80	6	818.5	98
6599	0.428	166	5	342	117.5
6567	0.089	907	6	1062	146
6535	0.155	349	5.5	437.5	112.5
6503	0.312	422	5	766	88.5
6471	0.193	342	6	464	113
6439	-0.088	260.5	6	203.5	102
6407	0.263	439	6	726	102
6375	0.145	723.5	5	965	134
6343	0.574	218	5	646	116
6311	-0.237	558	5	333.5	118
6279	null	10	5	192	101
6247	null	15	5	195	129
6215	0.223	910	7	1390	156
6183	0.323	379	6	732	131
6151	0.416	1307	7	2825	158
6119	0.31	463	7	901	150
6087	0.115	292.5	7	351.5	134
6055	0.352	353	6	706	118
7367	0.214	454.5	5	692	116
7335	0.401	199	5	386.5	109.5
7303	0.397	451	5	1026	118
7271	0.166	279	6	358	122
7239	0.017	728.5	6	726	110
7207	0.018	1622	7	1486	156
7175	0.068	1103	6	1205	158
7143	0.348	704	7	1438.5	155.5
7111	0.477	451	5.5	1223.5	124
7079	null	19	5	220	116
7047	1.032	52	6	307.5	113.5
7015	0.101	305	5	334	108.5
6983	-0.019	417	6	358	100
6951	0.312	335.5	5	602	116.5
6919	null	21	6	204	116
6887	0.522	248.5	5	678	118
6855	0.541	231	5	646	118
6823	-0.299	341	5	202	118
6791	null	19	9	268	150
6759	0.12	358	6	458	153
6727	0.308	410.5	6	770.5	126
8039	-0.372	2296.5	5	894	119.5
8007	null	9.5	5	209.5	102
7975	null	18	5	434.5	134
7943	0.465	280	5	707	134
7911	0.172	702	5	998	139
7879	0.064	1396.5	7	1436	154
7847	0.269	1171	7	1878	162
7815	0.447	757	6	1822	119
7783	null	27	7	270	114
7751	null	14	5	262	126
7719	null	12	6	290	118
7687	null	8	5	143	91
7655	-0.371	799	7	385	132
7623	-0.218	1194.5	5	741	143.5
7591	0.044	828	5	890	134
7559	-0.191	434	5	280.5	114
7527	0.1	717	6	875	136
7495	0.088	1018	7	1157	142
7463	null	1608	7	373	136
7431	-0.199	1331	7	811	119.5
7399	0.059	932	7	995	118
8711	null	600	6	653	122
8679	null	513	5	797.5	118
8647	null	11	5	181	110
8615	null	15	5	228	126
8583	null	13	5	225.5	118
8551	null	18	7	242.5	102
8519	null	19	6	248.5	126
8487	null	23	7	330	126
8455	null	6	5	144	108
8423	0.104	496.5	6	614	132
8391	0.219	386	5	576	115
8359	0.306	398.5	7	752	138
8327	0.278	403	6	699.5	121
8295	0.281	647	7	1142	128
8263	0.732	69	7	262	134
8231	null	59.5	6	292	122.5
8199	0.296	220	7	363	128
8167	0.113	753	7	949	146.5
8135	0.224	1064	6	1567.5	144.5
8103	0.115	1807	8	2017.5	169
8071	-0.338	2923	8	1204	150
9383	null	479	5	890	144
9351	null	20.5	5	383	116
9319	null	496	5	446	120
9287	null	702	5	852	141
9255	null	535	7	822	150
9223	null	1952	11	1780	229
9191	null	359	7	689	148
9159	null	472	9	741.5	177.5
9127	null	358	7	368	154
9095	null	10	6	190	122
9063	null	12	5	174	133.5
9031	null	24.5	6	314	124
8999	null	281	6	319	142
8967	null	979	7	1273	177
8935	null	243	5	336	138
8903	null	15	5	198	131
8871	null	15	6	165	126
8839	null	19	6	230	110
8807	null	15	7	282.5	118
8775	null	648	8	533	186
8743	null	460	7	368	142
10055	null	142	4	349.5	102
10023	null	85	5	309	105
9991	null	8	4	167.5	107
9959	null	452	6	450	118
9927	null	410	6	434	118
9895	null	49	7	292	142
9863	null	291	6	350	124
9831	null	1361	6	353.5	132
9799	null	991	6	862	142
9767	null	27	5	348	123
9735	null	1386	7	1166	174
9703	null	1245	6	1792.5	140
9671	null	761	7	446	142
9639	null	19	6	253.5	136
9607	null	514	6	423	131
9575	null	9	5	182	118
9543	null	444	5	266	110.5
9511	null	458	6	350	147.5
9479	null	317	5	364	106
9447	null	75	6	254	98
9415	null	858	7	685	134
10727	null	20.5	5	281.5	118
10695	null	12	5	230	150
10663	null	6223.5	7	6907	151.5
10631	null	35	6	250	121
10599	null	24	7	293	118
10567	null	480	7	813.5	118
10535	null	17	6	177.5	102
10503	null	19	6	230	132
10471	null	222	5	236	128
10439	null	11	5	224	131
10407	null	38	6	320	112
10375	null	27.5	5	251	115.5
10343	null	19	5	261	114
10311	null	218	6	669	140
10279	null	240	5	368	118
10247	null	494.5	5	460	140
10215	null	109	5.5	242	110
10183	null	17.5	6	246	121.5
10151	null	21	6	257	116.5
10119	null	35	5	287	110
10087	null	539	6	314	113
11399	null	5	4	98	99
11367	null	7	5	199.5	102
11335	null	7	5	200	102
11303	null	6	5	134	112
11271	null	5	5	149	97
11239	null	6.5	5	120	102
11207	null	8248	8	5627.5	174
11175	null	8	5	96.5	102
11143	null	6	5	118	118
11111	null	5	5	174	108.5
11079	null	5	5	84	102
11047	null	508	6	699	122
11015	null	5	5	134	101
10983	null	5	5	139	124.5
10951	null	137	6	364	124
10919	null	434	6.5	766	116
10887	null	280	7	350.5	132.5
10855	null	8	5	134	114
10823	null	14	6	219.5	139
10791	null	60.5	7	329	122
10759	null	13	7	198	126
12071	null	11	5	193	110
12039	null	13	5	206	108.5
12007	null	611	5	822	128
11975	null	35	5	340.5	118
11943	null	241	7	393.5	102
11911	null	13	6	186	126
11879	null	16	5	198	134
11847	null	13	4	268	129
11815	null	10	5	263	113
11783	null	7	5	144	126
11751	null	12	4	117.5	109
11719	null	9	5	165	122
11687	null	238.5	6	373	128
11655	null	6	5	166	111
11623	null	23	5	217.5	109
11591	null	6	5	126	99
11559	null	7.5	5	140	108
11527	null	6	5	125	118
11495	null	5.5	5	129	102
11463	null	78	6	238	126
11431	null	6	5	96	114.5
12743	null	18	4	314	134
12711	0.542	317	5	993	140
12679	0.32	247	5	425	118
12647	0.228	420	5	645	108
12615	0.12	293	5	347	123
12583	0.18	506	5	730	126
12551	0.198	468	5	701	128
12519	-0.054	299	6	272	134
12487	0.205	321.5	5	454	122
12455	0.138	333.5	7	436	149.5
12423	null	45	5	262	129
12391	0.317	171	5	284	112.5
12359	null	7	5	150	102
12327	null	15	5	294	150
12295	null	21	5	339	110
12263	null	11	4	226	110
12231	null	15	5	212	118
12199	null	38.5	5	246	112.5
12167	null	9	6	151.5	118
12135	null	15	6	138	125.5
12103	null	429	7	334	140
13415	null	3	4	86	90
13383	null	5	3	118	118
13351	null	2	5	143	119
13319	null	5	5	143	122
13287	null	5	5	154	118
13255	null	5	5	150	100.5
13223	null	5	5	132	96
13191	null	3	5	149	118
13159	null	4	4.5	92	83
13127	null	4	5	160	126
13095	null	4	5	150	122
13063	null	3.5	5	133	106
13031	0.262	418	5	701	116
12999	0.307	235	5	394	121
12967	0.33	412.5	5	817.5	129
12935	0.26	301	5	484	132
12903	0.062	904	6	993	134
12871	null	1179	8	2220	155.5
12839	0.119	433.5	5	530	118
12807	0.032	352	7	354.5	126
12775	0.231	326	6	484	120
645	null	234	6	123	104
613	null	26.5	5	110	94
581	null	1100	7	224	96
549	null	19	7	128	109
517	null	21	6	127	108.5
485	null	13	6	111	98
453	null	11	6	115	94
421	null	9	6	124.5	99
389	null	244	7	109	90
357	null	16	6	79	102
325	null	11	6	177	100
293	null	13	7	126.5	122
261	null	13	6	176	102
229	null	15	6	158	128
197	null	11	7	169	122
165	null	379	6	181	100
133	null	539	8	822	124
101	null	586	9	253	110
69	null	5737	15	1462.5	154
37	null	3812	10	1299	150
5	null	1040.5	11	1155	142
1317	-0.161	285	5	188	93
1285	null	353	6	97	118
1253	null	9	5	147.5	100
1221	null	829	6	146	94
1189	null	11	6	163	90
1157	null	504.5	6	115	121.5
1125	null	800	7	172	125.5
1093	null	4912	7	374	106
1061	null	2915.5	7	285.5	129
1029	null	3129.5	7	174	134
997	-0.369	665	7	304	113
965	null	170	6	277	102
933	null	310	6	284	100
901	null	1032	7	727	118
869	-0.178	1013.5	7	690	138
837	null	14	5	242	101.5
805	null	14	6	243	113
773	null	277.5	7	897	134
741	0.072	4089.5	8	3974	163
709	null	1273	7.5	1098	150
677	null	558	7	710	122
1989	null	17.5	11	550	138
1957	null	9	7	170.5	108
