647	0.254	1470	7	2042.5	67
615	0.124	346	4	467	51
583	0.244	824	5	1223	61
551	0.142	398.5	6	537	45
519	0.113	563	5	690.5	57.5
487	0.089	809	4	885.5	63
455	0.337	3120	6	5017	87
423	0.289	468.5	4.5	854.5	67
391	0.253	329	4	579	51
359	0.291	86.5	3	219.5	57
327	null	1931.5	5	672	57
295	0.299	202	4	416	46
263	0.183	369.5	4	555	51
231	null	24.5	4.5	256	50
199	0.721	576	5	2458	94
167	-0.237	710	5	420	56
135	0.666	1189	5	4120.5	75
103	0.245	392	6	675	67
71	null	36.5	4	127.5	57
39	0.564	35	4	179	57
7	0.335	111.5	5	290	65
1319	-0.014	963.5	5	839	73
1287	0.225	2481	5	3099	67
1255	0.198	5878	9	6992	86
1223	0.385	383	5	867	57
1191	null	2321	7	976	75
1159	-0.292	3685	12	1473	93.5
1127	-0.253	10574	9	4507	91
1095	null	9018.5	9	8213	97
1063	-0.238	8006	9	3493	89
1031	-0.319	7793	11	2815	79
999	-0.047	12374	11	8658	99
967	-0.813	536.5	7	124	46
935	0.277	207.5	5	410	50.5
903	0.014	301.5	5	340.5	55
871	0.309	192.5	6	440	82
839	0.16	12097.5	21	13867	193
807	0.206	529	8	824	95
775	0.499	68	5	265	66.5
743	null	565	5	1229.5	59
711	0.12	328.5	5	451	59
679	null	560	6	2287	67
1991	0.032	28937	11	25318.5	122
1959	-0.112	1013	5	700.5	51
1927	-0.382	2544	9	862	57
1895	0.037	4311.5	9	3482.5	75
1863	-0.13	739	6	524.5	49
1831	0.095	1203	7	1232	65
1799	0.478	566	5	1451	67
1767	null	259	3	1036	56
1735	0.559	727	5	2144.5	99
1703	null	45094.5	21	32661	203
1671	null	6940	11	3889.5	90
1639	-0.517	2188	9	582	54
1607	-0.623	9381	11	1715	90.5
1575	null	1718	7	1123	66.5
1543	0.197	1949	11	2378	123
1511	null	14	7	160	65
1479	-0.102	1779	7	1145	67
1447	0.125	1337	9	1457	90
1415	-0.217	553	7	362	61
1383	-0.078	1791	7	1205.5	62.5
1351	-0.102	569.5	5	464	64
2663	0.286	393	4	734.5	65
2631	null	273	4	479	59
2599	-0.311	301	6	179	41
2567	0.187	350	4	542	58
2535	0.563	745	4	2166	58
2503	0.424	439	4	1056	61
2471	0.206	340	4	545	54
2439	0.291	396	6	741.5	63
2407	0.364	235	4	558	65.5
2375	null	376.5	7	1513	66.5
2343	null	54	5	862	63.5
2311	-0.093	494	7	430.5	74
2279	0.106	757	7	879.5	76.5
2247	0.426	310	5	797	67
2215	null	1034.5	7	1833	99
2183	0.128	348	4	481	59
2151	0.319	255	7	527	51
2119	0.171	701	7	944	80
2087	null	512	7	889	67
2055	0.121	418.5	6	566.5	75
2023	0.119	1893	10	1999.5	149.5
3335	0.062	1580	6	1451.5	67
3303	-0.232	900	5	513	59
3271	0.122	390	7	521	61
3239	-0.066	1700.5	8	1182	64
3207	-0.15	1289.5	5	800	64
3175	0.033	757	7	765	78
3143	0.142	1099.5	7	1251	56
3111	null	33	5	186.5	49
3079	null	795	5	382	48
3047	0.313	276.5	4	572	59
3015	0.035	376	5	431	62.5
2983	0.014	661.5	6	638.5	49.5
2951	-0.038	1724	7	1267	62
2919	0.014	1171	6	1027	67
2887	-0.092	1041.5	7	759	67
2855	-0.223	802	10	483	67
2823	-0.345	454	7	244.5	56
2791	0.097	482	7	594.5	65
2759	0.358	537.5	7	1102	79
2727	null	644	6	1383	84.5
2695	null	689	5	1491	96
