647	-0.094	762	5	708	79.5
615	-0.406	262.5	5	258	61
583	0.131	877	7	1268	72
551	-0.255	336	6	356	68
519	-0.067	487.5	5	568	82
487	0.198	496	4	881	67
455	0.52	735	5	2626	94
423	1.004	15	2	605.5	64
391	null	26.5	3	411	63
359	null	11	4	89.5	52
327	-0.597	1493	4	445	62
295	null	139	4	155.5	60
263	null	31	5	194	65
231	null	15	5	188	72
199	0.687	29.5	3	498	60
167	null	491	3	161	63
135	0.627	1081	3	5160	84
103	0.413	61	3	451	58
71	-0.278	123	3	228	56
39	null	10	3	127	56
7	null	12	4	148	64
1319	0.19	553	5	958.5	84
1287	0.219	1854.5	6	3510	87
1255	0.181	3970.5	6	7159	84
1223	0.719	23	4	461	62
1191	-0.046	682	4	694	60
1159	-0.371	2132	5	1025	72
1127	-0.269	7603	5	4939	82
1095	-0.247	15369.5	6	11060	98
1063	-0.284	3964	5.5	2425	112
1031	-0.214	5347.5	5	3870	84
999	0.409	2041	4	6017.5	100
967	-1.404	623	5	122	67
935	null	9	4	156	63.5
903	null	61	4	166.5	78
871	null	21	5	158	82
839	0.09	8906	9	13804	178
807	null	10	2	360	58
775	0.254	26	4	260	63
743	-0.026	277	4	452	63
711	-1.189	356	4	113	52
679	0.26	450.5	5	924.5	68
1991	0.075	13417.5	7.5	20631	156
1959	-0.119	420	5	477	68
1927	-0.36	1405	4	687	68
1895	0.219	671.5	4	1196	78
1863	null	13	3	132	52
1831	0.353	337	3	919	76
1799	0.214	542	5	995	91
1767	0.966	12	2	516	62.5
1735	0.229	1201	3	2266	91.5
1703	-0.143	25843	7	24807	136.5
1671	-0.149	4119	5	3407.5	83
1639	-0.742	1950.5	5	422	66
1607	-0.474	5644.5	6	2231.5	86.5
1575	-0.221	487	3	438.5	68
1543	0.2	1283	4	2270	92
1511	null	6	2	80	73.5
1479	-0.027	429	3	553	65
1447	0.444	459	3	1363	76
1415	null	54	4	132	51
1383	0.191	19	2	210.5	52
1351	0.128	557	3	848.5	75
2663	null	29	5	160.5	63
2631	-0.144	114	4	266	59
2599	null	34.5	4	228	60
2567	0.283	91.5	3	439	56
2535	0.082	587.5	4	829	95
2503	0.282	58	4	374	68
2471	null	18	4	189.5	66
2439	0.013	258	3	462	60
2407	null	28.5	3	127	58
2375	null	127	5	1653	100
2343	0.694	315.5	3	1664.5	78
2311	null	3	4	84	60
2279	0.175	1204	3	1988	81.5
2247	null	11	3	214	79
2215	0.24	565	5	1058	68
2183	-0.782	129	4	154	78
2151	null	15	3	141	60
2119	-0.443	237.5	5	228	51.5
2087	null	242.5	4	158	66.5
2055	null	119	5	475	57.5
2023	-0.025	734	4	772.5	68
3335	0.561	27.5	2	415	65.5
3303	0.371	112	5	545	59
3271	null	11	5	81	60
3239	0.109	437	5	692	64
3207	-0.143	977	3	768.5	60
3175	null	7	2	108	50
3143	0.103	507	4	754	70
3111	null	166	4	216	52
